,zipcode,total,non_whiteFraction,non_whiteFraction_err
230,10977,63319,0.4950962586269524,0.05185314121831075
231,10979,283,0.441696113074205,1.3194010819630713
232,10980,13997,0.22026148460384365,0.05396384880816383
233,10983,5674,0.24462460345435322,0.09231881655278228
234,10984,3020,0.20695364238410596,0.2073240540547723
235,10985,38,0.0,0.9676198058342229
236,10986,1696,0.07665094339622647,0.20425226094797871
237,10987,3280,0.09512195121951217,0.07414667633996531
238,10988,711,0.1561181434599156,0.3757352212614185
239,10989,10333,0.2589760960030969,0.124631055858851
240,10990,19678,0.14732188230511234,0.052826076853666706
241,10992,9197,0.18408176579319346,0.10303120914702062
242,10993,4996,0.5202161729383508,0.2369814755347958
243,10994,7652,0.2273915316257188,0.1306618733282089
244,10996,6612,0.1904113732607381,0.08741906687291244
245,10998,2824,0.13137393767705385,0.155369740991907
246,11001,27650,0.292875226039783,0.03988731400746094
247,11003,45480,0.7902154793315743,0.10133636848924497
248,11004,14722,0.5050944165194946,0.12078552212294077
249,11005,1926,0.009865005192107978,0.2711849404526756
250,11010,24539,0.19462895798524793,0.06579894888222106
251,11020,6285,0.6147971360381861,0.18627677422743946
252,11021,17856,0.2377912186379928,0.04543391464462378
253,11023,9825,0.11012722646310436,0.11042566339999461
254,11024,7790,0.11899871630295256,0.09473650411326266
255,11030,17642,0.17634055095794132,0.05563862370090294
256,11040,41381,0.45900292404726806,0.03919399028783152
257,11042,549,0.3916211293260473,0.5664883373497567
258,11050,30450,0.1824630541871921,0.04599129703207967
259,11096,7701,0.6522529541617972,0.17308389047928058
260,11101,26505,0.5172986229013394,0.08541050948627858
261,11102,33750,0.4185777777777778,0.06561107839733915
262,11103,38861,0.3015619773037236,0.053864395906973575
263,11104,26102,0.3366791816719026,0.08332981712130547
264,11105,37297,0.25642813094886985,0.04997904856865711
265,11106,39409,0.4454566215839022,0.07165936154557327
266,11109,4964,0.3595890410958904,0.2136801576362146
267,11201,60061,0.35786949934233525,0.03787205607189937
268,11203,75920,0.9542281348788199,0.16800850030742745
269,11204,79332,0.38957797610043865,0.04402210655751024
270,11205,44818,0.5258155205497791,0.06735461140294334
271,11206,86486,0.540191476077053,0.055007751035279114
272,11207,93251,0.8638298784999625,0.10252597117519478
273,11208,95715,0.7439168364415191,0.07332654407518063
274,11209,67822,0.24369673557252813,0.03677710706500539
275,11210,68435,0.7039526558047783,0.05966395665113356
276,11211,99964,0.23037293425633232,0.034308478490581884
277,11212,86469,0.9435404595866727,0.19471950282000774
278,11213,65434,0.793287893144237,0.09350616458676571
279,11214,91728,0.4747296354439211,0.03760511193037036
280,11215,69965,0.24397913242335456,0.03244277868058635
281,11216,55816,0.7590117529023936,0.07807558122309301
282,11217,38670,0.40778381174036726,0.057717281988064494
283,11218,74831,0.42749662572997826,0.05368963964302848
284,11219,96287,0.3414479628610301,0.04097745204501535
285,11220,101006,0.7384808823238224,0.05991367517035875
286,11221,84034,0.7149844110717091,0.07482806457949437
287,11222,35695,0.1803894102815521,0.04726271428989253
288,11223,79730,0.3666248588987834,0.0448186835581408
289,11224,43444,0.40942362581714387,0.057115632200388164
290,11225,60323,0.7709165658206654,0.08361215199008955
291,11226,101787,0.874404393488363,0.08449086987866787
292,11228,46164,0.4054458019235768,0.04528736115625903
293,11229,82914,0.3178956509154063,0.042689433838023
294,11230,88933,0.3058482228194258,0.03973827171635774
295,11231,36302,0.33100104677428244,0.05663237820886533
296,11232,29387,0.6322183278320346,0.10175577712698573
297,11233,72159,0.9331060574564504,0.12829265638162962
298,11234,95546,0.5734305988738408,0.04142671195808074
299,11235,78237,0.2241139102981965,0.033982091885099826
300,11236,100049,0.9456566282521565,0.10337051866776527
301,11237,53678,0.47574425276649657,0.06767080500596392
302,11238,53992,0.5785116313527929,0.043221785399770625
303,11239,12468,0.6935354507539301,0.1618177840637586
304,11351,0,,inf
305,11354,58551,0.7784153985414425,0.10002135640511145
306,11355,82028,0.8742258740917735,0.083301212112348
307,11356,24405,0.646301987297685,0.1148619095039574
308,11357,39259,0.27741409613082346,0.055729105258250915
309,11358,37461,0.5633325325004672,0.06009541316553881
310,11359,0,,inf
311,11360,19309,0.3424309907297115,0.09483932995574441
312,11361,29322,0.49444103403587747,0.07910207390526568
313,11362,18198,0.48488844928014063,0.10006237428429712
314,11363,7577,0.3950112181602218,0.14310854762630879
315,11364,35068,0.5832667959393179,0.06845841007444049
316,11365,44617,0.6416612501961136,0.09625241198114261
317,11366,14042,0.5333998005982055,0.11815723437290233
318,11367,42663,0.42786489463938304,0.07638374461564838
319,11368,112982,0.584863075534156,0.06665494544488895
320,11369,37823,0.7545408878195807,0.09243516413226684
321,11370,34445,0.602932210770794,0.09887613601344379
322,11371,0,,inf
323,11372,64109,0.38166248108689893,0.06629734377534892
324,11373,96616,0.7026372443487621,0.08216033630522941
325,11374,43158,0.3998795124889939,0.0768985773617282
326,11375,71159,0.3677257971584761,0.0485669222864941
327,11377,90883,0.5108656184324901,0.05243659448026138
328,11378,33270,0.2521190261496844,0.06706340175256852
329,11379,36082,0.18782218280583118,0.05088192402648054
330,11385,103372,0.176798359323608,0.032152844478801165
331,11411,19300,0.9773056994818653,0.3717762187020275
332,11412,37802,0.9773556954658483,0.28717435932089436
333,11413,42699,0.9762757910021312,0.39935163360734044
334,11414,28247,0.20550854958048648,0.08327678791728554
335,11415,19308,0.4004557696291693,0.10231519383324009
336,11416,27144,0.7206749189507811,0.10267114823251342
337,11417,31742,0.620565811858106,0.09982671934806045
338,11418,39908,0.6080234539440714,0.08452406273572004
339,11419,51642,0.882382556833585,0.12999261397232664
340,11420,50549,0.8248432214287127,0.14316522704485435
341,11421,43341,0.5157702867954131,0.07503637394384591
342,11422,33408,0.9337583812260537,0.17563761638769135
343,11423,31823,0.8598183703610596,0.1629220651196716
344,11424,0,,inf
345,11425,0,,inf
346,11426,19991,0.5849132109449252,0.1296436122368247
347,11427,22941,0.7184952704764396,0.11768700935224988
348,11428,19736,0.7741690312119984,0.13732964714787355
349,11429,26739,0.9565054788885149,0.2715566760424999
350,11430,179,0.9106145251396648,2.079572005367437
351,11432,64686,0.7733821847076647,0.1044837507101119
352,11433,34703,0.9573523902832608,0.2748660633564712
353,11434,66279,0.9722536550038474,0.1752604427569087
354,11435,57627,0.7994689989067625,0.09380164785355491
355,11436,20136,0.9273440603893524,0.2962742584121522
356,11451,0,,inf
357,11501,19262,0.2680407019001142,0.04889990057695394
358,11507,7330,0.3758526603001364,0.1208785357701892
359,11509,2329,0.030914555603263172,0.15452736142629245
360,11510,33734,0.49724313748740145,0.07935402627284598
361,11514,4543,0.2509355051727933,0.13382032052106066
362,11516,7724,0.1855256343863283,0.2496507228258017
363,11518,10192,0.038461538461538436,0.06773351497696695
364,11520,43697,0.583770052864041,0.06983343916324633
365,11530,28463,0.09029266064715591,0.02597976006270518
366,11542,27676,0.3347304523775112,0.04511427900935969
367,11545,12694,0.15826374665196152,0.0856347503792638
368,11547,837,0.06093189964157708,0.3959790314510542
369,11548,2858,0.3516445066480056,0.267991698090066
370,11549,2920,0.3253424657534246,0.14029135577397717
371,11550,57679,0.8450042476464571,0.119840526275057
372,11552,24417,0.3989843142073146,0.05890488220213341
373,11553,26160,0.7476299694189603,0.12520196383319587
374,11554,37228,0.24486945309981734,0.05916865262587351
375,11556,14,0.0,1.9192898346492004
376,11557,6972,0.14974182444061968,0.13853687432262402
377,11558,8323,0.15739517001081338,0.06323868648493097
378,11559,8709,0.18727752899299577,0.07437465385608695
379,11560,6354,0.11111111111111116,0.09652992698263443
380,11561,37544,0.17315682932026422,0.03311316235831048
381,11563,22551,0.15476032105006432,0.05049099486075556
382,11565,8640,0.11979166666666663,0.06501274011561176
383,11566,34232,0.07849380696424402,0.03617223862703838
384,11568,4578,0.3304936653560506,0.0915052194818436
385,11569,1229,0.0,0.3785811733285177
386,11570,27463,0.21822087900083753,0.04422102214087256
387,11572,29295,0.08165215907151391,0.043534779323229716
388,11575,16564,0.8753924172905095,0.2649138507297613
389,11576,12663,0.18147358445865913,0.08134112411445608
390,11577,12888,0.24037864680322785,0.10069298303687882
391,11579,5128,0.08073322932917315,0.05189811388290772
392,11580,43219,0.620028228325505,0.07800531805058618
393,11581,21406,0.4124077361487434,0.07901845435299035
394,11590,47134,0.5111596724233038,0.0521377220581403
395,11596,10683,0.21117663577646728,0.04976399431052677
396,11598,13478,0.08888559133402585,0.11032062080899945
397,11691,64946,0.616188833800388,0.07776447702999091
398,11692,19403,0.7408648147193733,0.17034750709847582
399,11693,12021,0.42508942683636963,0.11927673019324433
400,11694,21219,0.18257222300768183,0.07810261120834971
401,11697,3928,0.03869653767820769,0.15967569594460057
402,11701,28139,0.5945484914176055,0.10129574937944871
403,11702,13906,0.09535452322738391,0.05581350891476714
404,11703,16508,0.16737339471771262,0.05737883596247368
405,11704,40257,0.2473110266537497,0.04903978955077195
406,11705,7499,0.06414188558474465,0.07297977818050289
407,11706,67959,0.46798805161935875,0.06017196723203431
408,11709,6745,0.03602668643439588,0.0181341926786352
409,11710,33525,0.08894854586129752,0.046132632010833174
410,11713,9176,0.3415431560592851,0.1404523875081746
411,11714,21438,0.06502472245545299,0.058302830723361634
412,11715,4463,0.007842258570468275,0.1194549706651079
413,11716,9998,0.04560912182436483,0.08614971857868281
414,11717,61568,0.4544081340956341,0.06186393574962027
415,11718,3092,0.07082794307891338,0.041115234734452
416,11719,3787,0.11988381304462636,0.2085344082282022
417,11720,28823,0.10252229122575718,0.05326098687626492
418,11721,5995,0.025688073394495414,0.0998042305541566
419,11722,35668,0.49086015476056966,0.10344427553565338
420,11724,3243,0.13228492136910264,0.16378303914145226
421,11725,29444,0.10229588371145226,0.035003683398906
422,11726,21688,0.4466986351899668,0.12851762405605366
423,11727,30282,0.2691367809259626,0.07859328250723799
424,11729,27311,0.29153088499139546,0.05681464920245578
425,11730,14168,0.038184641445511036,0.09388895380973807
426,11731,29743,0.07215143058870999,0.046756791589130105
427,11732,3856,0.05031120331950212,0.16033822999496603
428,11733,17136,0.15797152194211017,0.060192106474936675
429,11735,33596,0.16945469698773663,0.04283943369495268
430,11738,17067,0.10675572742719863,0.09473580668203303
431,11739,1119,0.05451295799821265,0.24860493548523063
432,11740,8953,0.12811348151457613,0.09713182669273927
433,11741,27243,0.07330323385823878,0.05051243608363375
434,11742,13132,0.10638135851355468,0.08445643910385736
435,11743,42531,0.1490677388257976,0.04549310845767585
436,11746,70005,0.29879294336118845,0.04701392341765027
437,11747,19061,0.12213420072399139,0.06470745907042187
438,11749,3349,0.3657808300985369,0.12265553685580623
439,11751,14313,0.08956892335638933,0.07261291460810523
440,11752,9456,0.08058375634517767,0.08284610526449647
441,11753,12015,0.3385767790262172,0.08160882264577664
442,11754,18357,0.06896551724137934,0.06250493316542292
443,11755,12430,0.09774738535800487,0.03718059609910982
444,11756,42654,0.14964598865288137,0.037832669456878014
445,11757,44701,0.10961723451376926,0.03637638099262987
446,11758,54929,0.1092501228859073,0.03303224575947052
447,11762,22951,0.033201167705110834,0.03034740759547343
448,11763,28654,0.16242060445313045,0.0744827100596543
449,11764,13030,0.07735993860322332,0.08688956703509494
450,11765,750,0.11333333333333329,0.24116925494628697
451,11766,12478,0.09128065395095364,0.13062769700718752
452,11767,15347,0.06763536847592366,0.08322199919297696
453,11768,21375,0.05253801169590644,0.04791492996581029
454,11769,8686,0.04052498273083127,0.08003257546823064
455,11770,65,0.07692307692307687,0.44153406889026753
456,11771,9458,0.11799534785366883,0.13235703003121127
457,11772,45243,0.09484340118913426,0.04786798792415975
458,11776,26327,0.125080715615148,0.09058475719216641
459,11777,8958,0.12681402098682737,0.048152644353760654
460,11778,12354,0.04476282985267932,0.09958797698762263
461,11779,38084,0.1287417288099989,0.04443786347457005
462,11780,15609,0.08245243128964064,0.0627336484895302
463,11782,15346,0.049719796689691176,0.047996382253689664
464,11783,21823,0.030289144480593833,0.055541879922104964
465,11784,26230,0.09561570720548984,0.07295078172960778
466,11786,6017,0.059664284527172984,0.1108077452242023
467,11787,36040,0.07580466148723641,0.04230357706076123
468,11788,16007,0.13550321734241266,0.0617376198483067
469,11789,8202,0.014508656425262112,0.11889546351930129
470,11790,18365,0.28341954805336234,0.07006379186739173
471,11791,25404,0.2780664462289403,0.04428219176799635
472,11792,8807,0.029181333030543932,0.10250271125256001
473,11793,31642,0.05644396687946396,0.03985177906761857
474,11794,2983,0.6687898089171975,0.17554192482884304
475,11795,25301,0.050630409865222714,0.04505430148086529
476,11796,4065,0.04083640836408364,0.16800176094784944
477,11797,8665,0.13410271206001156,0.07620132999704068
478,11798,14242,0.7839488835837664,0.18177103084158058
479,11801,40713,0.3021148036253777,0.05084526439483363
480,11803,28231,0.16524388084021113,0.040367382541646554
481,11804,4688,0.08404436860068254,0.1014925234126329
482,11901,29688,0.24727162489894905,0.06750587908204322
483,11930,1244,0.026527331189710623,0.34170883416685854
484,11931,34,0.0,2.246103893180798
485,11932,914,0.19584245076586437,0.41058725882477
486,11933,7386,0.18196588139723802,0.16460768980671947
487,11934,8079,0.06089862606758267,0.1291260762310906
488,11935,3186,0.03578154425612057,0.15610592853127883
489,11937,15757,0.08212223138922381,0.05748705750494288
490,11939,911,0.03841931942919863,0.2358316604543513
491,11940,5186,0.03548013883532586,0.12685388612828777
492,11941,2053,0.013151485630784165,0.3075258345573529
493,11942,4501,0.0677627193956899,0.1485968059111258
494,11944,4208,0.0960076045627376,0.142690336704087
495,11946,13693,0.06032279266778651,0.0891007659514849
496,11947,105,0.0,1.387276161185036
497,11948,1191,0.0,0.661391229422178
498,11949,15092,0.054996024383779485,0.09426693446468688
499,11950,16324,0.2251899044351875,0.11489914674604121
500,11951,13959,0.1478615946701053,0.07392276132740332
501,11952,4831,0.045539225833160835,0.1638786653567314
502,11953,13305,0.2311161217587373,0.06987946188503064
503,11954,3510,0.06780626780626786,0.17769335751233
504,11955,3294,0.18518518518518523,0.2639903036888277
505,11956,250,0.028000000000000025,0.43321573023427984
506,11957,717,0.02789400278940024,0.26807179861659386
507,11958,531,0.0,0.4980375445645363
508,11959,815,0.07239263803680984,0.36627077722102686
509,11960,490,0.0,0.39540256743900826
510,11961,12850,0.11291828793774317,0.08617234250687644
511,11962,491,0.020366598778004064,0.9254965436136001
512,11963,6710,0.09284649776453058,0.1654279608778335
513,11964,2263,0.05700397702165272,0.23183280794433958
514,11965,581,0.018932874354561147,0.8958565979836745
515,11967,26107,0.15666296395602708,0.08068304056223376
516,11968,10702,0.15707344421603442,0.09711927160391826
517,11970,111,0.0,1.2995475978563578
518,11971,6327,0.018334123597281482,0.11070954527943966
519,11972,1355,0.20664206642066418,0.3760847037264279
520,11973,41,0.6341463414634146,1.2245359936572082
521,11975,308,0.14610389610389607,0.5372169332954838
522,11976,2344,0.08532423208191131,0.288221602209751
523,11977,2148,0.05912476722532589,0.20993983625376048
524,11978,3122,0.07463164638052533,0.14817023111458702
525,11980,5620,0.1295373665480427,0.13519032371813391
526,12007,0,,inf
527,12008,570,0.10175438596491226,0.4548955103102337
528,12009,8073,0.06639415335067511,0.08416711882015138
529,12010,28787,0.16872199256608889,0.038813289025069975
530,12015,3013,0.02987056090275475,0.20421246592124676
531,12017,340,0.06470588235294117,0.46248019170566396
532,12018,7466,0.01768015001339407,0.12375678528934908
533,12019,14336,0.0655691964285714,0.07015017145013171
534,12020,33044,0.04412298753177579,0.027460448254733046
535,12022,819,0.013431013431013383,0.2216550923249515
536,12023,2133,0.025316455696202556,0.18538423133146853
537,12024,23,0.0,2.398014301415248
538,12025,5456,0.03170821114369504,0.09633662195486628
539,12027,3901,0.03819533452960777,0.12201828996625673
540,12028,924,0.0670995670995671,0.3636836794497172
541,12029,1114,0.07719928186714542,0.33197066023002314
542,12031,184,0.0,0.48421442624730976
543,12032,818,0.0317848410757946,0.2539849483513343
544,12033,7885,0.04337349397590362,0.1232559971603673
545,12035,793,0.022698612862547263,0.38514417125219275
546,12036,284,0.035211267605633756,0.45886955865273077
547,12037,4288,0.06856343283582089,0.18475015537686987
548,12040,146,0.0,0.9105210607059654
549,12041,453,0.0,0.49637959474022547
550,12042,159,0.0,0.6670818690439128
551,12043,8435,0.08085358624777716,0.05141978099131394
552,12045,343,0.026239067055393583,0.5891414797949126
553,12046,966,0.0,0.3337895364607305
554,12047,20363,0.10155674507685508,0.04797414719183795
555,12051,6432,0.26539179104477617,0.08359831806355765
556,12052,1560,0.060256410256410264,0.2066320984389008
557,12053,4828,0.04101077050538526,0.18325959327234062
558,12054,17177,0.08278511963672353,0.0658829510609902
559,12056,2400,0.026249999999999996,0.2765119437359907
560,12057,2115,0.023640661938534313,0.239258000857589
