zipcode,treehealth
83,1.9409871244635193
10001,1.8094117647058823
10002,1.7140871177015755
10003,1.7092125579001545
10004,1.8034188034188035
10005,1.3461538461538463
10006,1.875
10007,1.7662721893491125
10009,1.738403451995685
10010,1.802615933412604
10011,1.8299019607843137
10012,1.6388349514563108
10013,1.598939929328622
10014,1.7163403915301638
10016,1.600560224089636
10017,1.6613300492610839
10018,1.8276643990929706
10019,1.589870290302656
10020,1.6808510638297873
10021,1.637135278514589
10022,1.6867852604828462
10023,1.7644121652292328
10024,1.824822036521201
10025,1.7277310924369749
10026,1.667608818541549
10027,1.7121265377855888
10028,1.6396501457725947
10029,1.6503122212310437
10030,1.7844630616907844
10031,1.727198697068404
10032,1.6312741312741312
10033,1.6285097192224622
10034,1.596281540504648
10035,1.695024077046549
10036,1.6622114216281896
10037,1.7268588770864948
10038,1.654494382022472
10039,1.839378238341969
10040,1.6271536871123362
10048,1.7272727272727273
10065,1.5789186237028945
10069,1.4910714285714286
10075,1.6544202066590126
10111,1.88
10115,1.5714285714285714
10128,1.6705998033431662
10280,1.8222222222222222
10281,1.6338028169014085
10282,1.9304347826086956
